400 538
360 361 6875
361 362 8091
362 363 720
363 364 8264
363 276 5862
364 365 -2413
365 366 -9212
365 83 5884
366 367 -8519
367 368 3608
368 369 -8798
369 370 1351
370 371 2049
371 372 5807
372 373 4842
373 374 -2504
374 375 -8272
375 376 2073
376 377 -9329
377 378 -2227
377 221 -304
378 379 2486
379 380 8111
380 381 -1023
381 382 -8031
382 383 -1604
383 384 -3845
384 385 -5753
385 386 -4313
386 387 -1583
387 388 6369
387 42 1314
388 389 -9848
388 171 -3679
389 390 2370
390 391 2324
390 333 8427
391 392 5029
392 393 -5890
393 394 -8904
393 5 2823
394 395 8618
394 54 8620
395 396 2116
396 397 -2273
397 398 6267
398 399 6846
399 400 6781
399 74 9088
