400 518
372 373 -4254
372 370 -6329
373 374 -9758
374 375 -7509
375 376 9677
376 377 525
376 400 7637
377 378 -721
378 379 647
379 380 -9255
380 381 -9506
381 382 -4545
382 383 -5333
383 384 -2978
384 385 -2156
385 386 6978
386 387 5877
387 388 -2943
388 389 -2572
389 390 -7293
390 391 1562
391 392 -1956
392 393 -7414
392 201 -9896
393 394 -1601
393 335 6356
394 395 -2948
395 396 -3363
396 397 -8951
397 398 -486
397 131 3251
398 399 7537
398 228 -8201
399 400 -518
399 112 -9889
